Txn Hash,Method,Block,Age,From,Action,To,Value,Fee,Date
0x619630994f4272e9c024bd6658af3d18adb41bdf392c3cf9c1101d2c9b3f91bd,Transfer,18392662,2 days 3 hrs ago,0x0B83F6...7aa81971,OUT,0x34C7f3...595cc3FF,0.02 ETH,0.00048632,2023-10-20 13:19:41.736430
0xb33c1497a3e5e0aa8a56c7c36b3fb2739a6edfab2ae42d3ce8c20ab2e92bac22,Transfer,18376979,4 days 7 hrs ago,0x0B83F6...7aa81971,OUT,Circle: USDC Token,0 ETH,0.00038417,2023-10-18 09:19:41.736430
0xa2634f4efc2b92aa29e48962b2ebbb61721448a95bc4a473ceed008e7122885d,Transfer,18376885,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,Circle: USDC Token,0 ETH,0.0005249,2023-10-18 08:19:41.736430
0x2688de073a3b87c5ebaa2d8ac24c6eaed585551b84029d05563a88917f9051a9,Swap On Uniswap ...,18376630,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,Paraswap v5: Augustus Swapper Mainnet,0 ETH,0.00073165,2023-10-18 08:19:41.736430
0xb78f526771fbc81978f69f6744076708a5c295fb83f1e702034a5f188c9d81cf,Approve,18376629,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,BarnBridge: BOND Token,0 ETH,0.00028432,2023-10-18 08:19:41.736430
0x30236e7b599e36494e57a3cdf1c4a3482e7898638b2d41423612ed36aefc1ede,Swap Simple Mode,18376626,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,KyberSwap: Meta Aggregation Router v2,0 ETH,0.00206183,2023-10-18 08:19:41.736430
0x3a6ed4bb39e6f139b36344af15abeb34efb94789a7f6fb22f722751e18270f0e,Approve,18376623,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,0x14C256...c2c294fF,0 ETH,0.00028038,2023-10-18 08:19:41.736430
0xb796f2523c1489c5c2e1025d64d6af87e44c856d7e11e11a04f9bcceede50d2b,Approve,18376617,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,NFTX: NFTX Token,0 ETH,0.0004401,2023-10-18 08:19:41.736430
0x48b17b8c46814fe44153bbd49dcfefe43fa19b69b4f5d1fc2d8da613be9109c5,Sell Token For T...,18376615,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,0x: Exchange Proxy,0 ETH,0.00118086,2023-10-18 08:19:41.736430
0x2bede5d86b39e7b0af03c45c1c58ee7226aebbb1268074f39c2c6ef3da6fd342,Approve,18376613,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,0x1EB9d0...fed5B664,0 ETH,0.00028452,2023-10-18 08:19:41.736430
0xc6b43e6cdd10c85dc5e6be4bddc51c7f291e8349008b5324e70c62a7ee65dbc8,Execute,18376609,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,Uniswap: Universal Router,0 ETH,0.00153755,2023-10-18 08:19:41.736430
0x90535ea730b1bbbb1782ef87e6713a42b792485f46fb06da13e0ea0f0938ce03,Approve,18376606,4 days 8 hrs ago,0x0B83F6...7aa81971,OUT,0x1CbC7b...1b6f11f1,0 ETH,0.00031184,2023-10-18 08:19:41.736430
0x2f254d7c96eed14536b19bec6169597b0e739a28ee07f9f9ef1975d6e9bc12bf,Execute,18376603,4 days 9 hrs ago,0x0B83F6...7aa81971,OUT,Uniswap: Universal Router,0 ETH,0.00082278,2023-10-18 07:19:41.736430
0xfd5b30fffbf15b3b317e1fd060d0831bf7850e5607a92813b4333b4bf2908b67,Execute,18376598,4 days 9 hrs ago,0x0B83F6...7aa81971,OUT,Uniswap: Universal Router,0 ETH,0.00137965,2023-10-18 07:19:41.736430
0x78001f3e7008a9999b2afb43fef1a1ecd77b224f44338dfd7b1a3b1e7fee9dab,Approve,18376592,4 days 9 hrs ago,0x0B83F6...7aa81971,OUT,0xEa4a23...609819DB,0 ETH,0.00030842,2023-10-18 07:19:41.736430
0x3896ff259ec3f479f89ca8cbd936e674eceb1eada72ebac99adf5c4f461fa13f,Execute,18376587,4 days 9 hrs ago,0x0B83F6...7aa81971,OUT,Uniswap: Universal Router,0 ETH,0.00215562,2023-10-18 07:19:41.736430
0xb0b62bb5a4de052e84f6af799a82b36eade34778133e18d13bbe39e58e2317fc,Execute,18376584,4 days 9 hrs ago,0x0B83F6...7aa81971,OUT,Uniswap: Universal Router,0 ETH,0.00192626,2023-10-18 07:19:41.736430
0xc942a011571fae35d5af92207b0a7863e05bfcc213cc4799139c62d3d6b3fb3a,Approve,18376578,4 days 9 hrs ago,0x0B83F6...7aa81971,OUT,Bridge Bot: BRIDGE Token,0 ETH,0.00029795,2023-10-18 07:19:41.736430
0xf4fd9b8dd47737c19228646696c0aad9a9c4c427e096dbb0f317adde23d1ea1e,Execute,18376575,4 days 9 hrs ago,0x0B83F6...7aa81971,OUT,Uniswap: Universal Router,0 ETH,0.00140787,2023-10-18 07:19:41.736430
0xd7574060b33be252b1c05e92002e2d583af66ea3ccf96f9304abe80b1a831c77,Execute,18376567,4 days 9 hrs ago,0x0B83F6...7aa81971,OUT,Uniswap: Universal Router,0 ETH,0.00207012,2023-10-18 07:19:41.736430
0x1422d50f240836428a19f40731613a47694cac656cea02d5036e55c52b0620dc,Execute,18376561,4 days 9 hrs ago,0x0B83F6...7aa81971,OUT,Uniswap: Universal Router,0 ETH,0.00216736,2023-10-18 07:19:41.736430
