Txn Hash,Method,Block,Age,From,Action,To,Value,Fee,Date
0x6db040d509057e021e90ac52a036abfeea65a8072d6f8285d4ed2e96773a3680,Approve,47923624,28 days 9 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Wrapped Ether,0 MATIC,0.00163523,2023-09-24 06:49:15.633990
0x1c4b74a27a721ad2c31ebe13ec9d7fe3514a1076daa6a36f227444a8bffd39c9,Approve,47923617,28 days 9 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Wrapped Ether,0 MATIC,0.00164088,2023-09-24 06:49:15.633990
0x231289e59dfd227b02940c4e55c64c3b6fc21416ba9d1f81dfdc98981043e114,Claim,47768316,32 days 7 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Galxe: Space Station 3,0 MATIC,0.01055448,2023-09-20 08:49:15.633990
0x39c56a3c4afab853fea754a57b4d82d6fc1d9713e71efae55d2e4ac350d62302,Claim,47294433,44 days 6 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Galxe: Space Station 3,0 MATIC,0.0238701,2023-09-08 09:49:15.633990
0xa51b73f28b55c6298e71327a857254771c3cb8ae679d6a061bc647c61aa24dca,Swap,46631335,60 days 21 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,KyberSwap: Meta Aggregation Router v2,1 MATIC,0.02978903,2023-08-22 18:49:15.633990
0x4d92a958a3eb1bce3269e27fc237266283f689fff58912354fa42d4e2a304cb7,Approve,46626414,61 days 43 mins ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Wrapped Ether,0 MATIC,0.00237795,2023-08-22 15:06:15.633990
0x2b52a463616776a0c903453fffc3283dbbe9937be2635bdc8f4ef454d9bd0693,Set Approval For...,46498312,64 days 5 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Collect Trump Cards: TRUMP Token,0 MATIC,0.00451906,2023-08-19 10:49:15.633990
0x8ee8498f2ac74d38e38a2a18d58f40c972c24d9a783e5201093ed038269465a7,Approve,46429566,65 days 22 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Wrapped Ether,0 MATIC,0.00347699,2023-08-17 17:49:15.633990
0xdc090212762251b70562eb54009d7c382d447b5e77a8bc75878f8f4cc2502479,Claim,46252359,70 days 8 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Galxe: Space Station 3,0 MATIC,0.00941794,2023-08-13 07:49:15.633990
0xbd096bf96bdfa592a352966f67a7225416b1964bf31ef0995019938bf28a427a,Claim,46252346,70 days 8 hrs ago,0x0b83f617ad1b093e071248930366ca447aa81971,OUT,Galxe: Space Station 3,0 MATIC,0.01091854,2023-08-13 07:49:15.633990
